20160826 13:34:26 | INFO | se.sigma.sensation.gateway.sdk.client.core.LogHandler | updateLogLevel | Loglevel set to INFO
20160826 13:34:26 | INFO | se.sigma.sensation.gateway.sdk.client.core.LogHandler | init | Logging setup done.
20160826 13:34:26 | INFO | se.sigma.sensation.gateway.sdk.client.SensationClient | init | Sensor collection registry initialising.
20160826 13:34:26 | INFO | se.sigma.sensation.gateway.sdk.client.SensationClient | init | Sensor collection registry initialised.
20160826 13:34:26 | INFO | se.sigma.sensation.gateway.sdk.client.SensationClient | init | Initialising platform...
20160826 13:34:30 | INFO | com.ericsson.appiot.simplelwm2mclient.appiot.MyPlatform | init | called
20160826 13:34:30 | INFO | se.sigma.sensation.gateway.sdk.client.SensationClient | init | Platform initialised.
20160826 13:34:37 | WARNING | se.sigma.sensation.gateway.sdk.client.core.SensationClientProperties | getSetting | Failed to read setting queue_size using default value 1024
20160826 13:34:37 | WARNING | se.sigma.sensation.gateway.sdk.client.core.SensationClientProperties | getSetting | Failed to read setting report_interval using default value 1000
20160826 13:34:37 | INFO | se.sigma.sensation.gateway.sdk.communication.http.HttpOutbox$MeasurementProcessor | start | MeasurementProcessor starting up.
20160826 13:34:37 | INFO | se.sigma.sensation.gateway.sdk.communication.http.HttpOutbox$MeasurementProcessor | start | MeasurementProcessor started.
20160826 13:34:37 | INFO | se.sigma.sensation.gateway.sdk.client.SensationClient | register | calling platform for data collector status.
20160826 13:34:42 | INFO | se.sigma.sensation.gateway.sdk.client.SensationClient | register | Data collector status sent.
20160826 13:34:42 | WARNING | se.sigma.sensation.gateway.sdk.client.core.SensationClientProperties | getSetting | Failed to read setting queue_size using default value 1024
20160826 13:34:42 | WARNING | se.sigma.sensation.gateway.sdk.client.core.SensationClientProperties | getSetting | Failed to read setting report_interval using default value 1000
20160826 13:34:42 | INFO | se.sigma.sensation.gateway.sdk.communication.http.HttpOutbox$MeasurementProcessor | start | MeasurementProcessor starting up.
20160826 13:34:42 | INFO | se.sigma.sensation.gateway.sdk.communication.http.HttpOutbox$MeasurementProcessor | start | MeasurementProcessor started.
